,ESTACIÓN 1,ESTACIÓN 2,ESTACIÓN 3,ESTACIÓN 4,ESTACIÓN 5,ESTACIÓN 6
2013-07-17,700,450,220,100,410,410
2013-07-25,190,500,330,130,100,420
2013-08-02,120,160,360,87,100,140
2013-08-09,140,420,160,360,300,110
2013-08-16,310,120,220,160,180,180
2013-08-23,500,650,230,240,180,180
2013-08-29,260,500,270,100,260,170
2013-09-07,320,520,140,110,250,180
2013-09-20,530,400,160,110,120,120
2013-10-03,370,380,320,110,120,150
2013-10-16,180,330,380,190,140,130
2013-11-01,91,120,110,180,97,140
2013-11-14,140,85,96,220,320,150
2013-11-30,61,75,73,61,86,75
2013-12-11,40,50,42,31,61,57
2013-12-26,15,32,15,20,110,97
2014-01-09,26,29,28,12,90,21
2014-01-25,110,90,90,77,83,81
2014-02-05,110,280,190,130,120,300
2014-02-19,190,370,340,200,250,320
2014-03-05,150,200,230,200,230,310
2014-03-19,210,210,210,290,200,300
